"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1936-11","1936","11","1.3","","-6.9","","-2.8","","17.2","S","-20.6","S","45.2","","13.0","","58.2","","","",,"",,""
"1936-12","1936","12","-2.3","","-13.4","","-7.9","","9.4","","-25.0","","35.1","","30.7","","65.8","","","",,"",,""
"1937-01","1937","01","-0.6","","-12.7","","-6.7","","10.0","","-27.8","","49.3","","23.1","","72.4","","","",,"",,""
"1937-02","1937","02","-2.3","","-12.3","","-7.3","","5.6","","-20.0","","47.2","","23.6","","70.9","","","",,"",,""
"1937-03","1937","03","-2.1","","-12.1","","-7.1","","3.3","","-26.1","S","0.0","T","42.2","","42.2","","","",,"",,""
"1937-04","1937","04","9.1","","-0.9","","4.1","","19.4","","-11.1","","56.9","","8.9","","65.8","","","",,"",,""
"1937-05","1937","05","18.9","","6.4","","12.7","","31.7","","-2.2","","44.5","","0.0","","44.5","","","",,"",,""
"1937-06","1937","06","23.3","","12.2","","17.8","","28.3","","8.9","S","79.0","","0.0","","79.0","","","",,"",,""
"1937-07","1937","07","26.7","","15.4","","21.1","","33.9","","11.1","","78.7","","0.0","","78.7","","","",,"",,""
"1937-08","1937","08","27.2","","15.8","","21.5","","33.3","","10.0","","67.8","","0.0","T","67.8","","","",,"",,""
"1937-09","1937","09","","M","8.8","","","M","","M","2.2","","94.2","","0.0","","94.2","","","",,"",,""
"1937-10","1937","10","","M","2.5","","","M","","M","-3.9","","119.9","","0.0","","119.9","","","",,"",,""
"1937-11","1937","11","3.3","","-1.7","","0.8","","10.6","","-7.8","S","94.2","","0.8","","95.0","","","",,"",,""
"1937-12","1937","12","-5.0","","-13.8","","-9.4","","0.6","","-27.2","S","1.0","","75.4","","76.5","","","",,"",,""
"1938-01","1938","01","-6.6","","-18.1","","-12.4","","6.7","","-30.6","S","17.8","","45.7","","63.5","","","",,"",,""
"1938-02","1938","02","-5.1","","-17.0","","-11.1","","3.3","","-26.1","","35.3","","33.3","","68.3","","","",,"",,""
"1938-03","1938","03","1.0","","-11.6","","-5.3","","13.9","","-37.2","","53.1","","30.5","","83.6","","","",,"",,""
"1938-04","1938","04","10.8","","0.1","","5.5","","29.4","","-10.6","","72.6","","14.0","","86.6","","","",,"",,""
"1938-05","1938","05","17.4","","6.1","","11.8","","25.6","","0.6","","70.4","","0.0","","70.4","","","",,"",,""
"1938-06","1938","06","24.3","","12.4","","18.4","","33.3","","7.2","S","52.8","","0.0","","52.8","","","",,"",,""
"1938-07","1938","07","26.2","","15.3","","20.8","","31.7","","10.0","","64.3","","0.0","","64.3","","","",,"",,""
"1938-08","1938","08","26.6","","15.7","","21.2","","34.4","","8.3","","90.9","","0.0","","90.9","","","",,"",,""
"1938-09","1938","09","17.1","","7.2","","12.2","","22.2","S","2.2","","84.3","","0.0","","84.3","","","",,"",,""
"1938-10","1938","10","14.6","","3.5","","9.1","","26.1","","-3.3","","8.4","","0.0","","8.4","","","",,"",,""
"1938-11","1938","11","6.3","","-3.1","","1.6","","21.1","","-13.3","S","31.8","","13.5","","45.2","","","",,"",,""
"1938-12","1938","12","-2.4","","-10.2","","-6.3","","6.7","","-23.3","S","18.8","","50.0","","68.8","","","",,"",,""
"1939-01","1939","01","-5.8","","-18.3","","-12.1","","8.9","","-33.9","","8.9","","70.9","","79.8","","","",,"",,""
"1939-02","1939","02","-5.2","","-19.3","","-12.3","","4.4","","-28.9","","23.9","","60.7","","84.6","","","",,"",,""
"1939-03","1939","03","-1.3","","-13.9","","-7.6","","7.2","","-26.7","","3.0","","51.1","","54.1","","","",,"",,""
"1939-04","1939","04","5.6","","-2.9","","1.4","","15.6","","-10.6","","34.5","","20.6","","55.1","","","",,"",,""
"1939-05","1939","05","18.6","","5.3","","12.0","","30.6","","-0.6","","40.9","","0.0","","40.9","","","",,"",,""
"1939-06","1939","06","22.9","","12.1","","17.5","","30.0","","6.7","","65.3","","0.0","","65.3","","","",,"",,""
"1939-07","1939","07","25.6","","14.7","","20.2","","32.2","","9.4","","140.7","","0.0","","140.7","","","",,"",,""
"1939-08","1939","08","25.8","","15.1","","20.5","","30.0","","11.1","S","65.3","","0.0","","65.3","","","",,"",,""
"1939-09","1939","09","18.9","","8.2","","13.6","","33.3","S","0.6","","68.8","","0.0","","68.8","","","",,"",,""
"1939-10","1939","10","11.5","","2.1","","6.8","","20.6","","-6.7","","82.0","","0.0","T","82.0","","","",,"",,""
